curso;codigo;D_DENOMINA;D_ESPECIFICA;D_TIPO;D_DOMICILIO;D_LOCALIDAD;cod_municipio;D_MUNICIPIO;D_PROVINCIA;C_POSTAL;N_TELEFONO;Correo_e;N_LATITUD;N_LONGITUD;N_COUTMX;N_COUTMY;Regimen_general;Regimen_adultos;Regimen_especial;pub_adh_inf1;pub_noadh_inf1;priv_adh_inf1;priv_noadh_inf1;pub_inf2;priv_c_inf2;priv_noc_inf2;pub_pri;priv_c_pri;priv_noc_pri;pub_eso;priv_c_eso;priv_noc_eso;pub_bach_ord;priv_c_bach_ord;priv_noc_bach_ord;pub_bach_adul;pub_bach_semi_dist;pub_fpbasica;priv_c_fpbas;priv_noc_fpbas;pub_fpgm_ord;priv_c_fpgm_ord;priv_noc_fpgm_ord;pub_fpgm_adul;pub_fpgm_semi_dist;priv_noc_fpgm_semi_dist;pub_fpgs_ord;priv_c_fpgs_ord;priv_noc_fpgs_ord;pub_fpgs_adul;priv_noc_fpgs_adul;pub_fpgs_semi_dist;priv_noc_fpgs_semi_dist;pub_ce_gm;pri_noc_ce_gm;pub_ce_gs;pri_noc_ce_gs;pub_ee;priv_c_ee;priv_noc_ee;pub_ccff_gm_apd;priv_ccff_gm_apd;pub_ccff_gs_apd;priv_ccff_gs_apd;pub_ESD;priv_ESD;priv_Master_EA;pub_Dra;priv_Dra;pub_Ens_Mus;priv_Ens_Mus;pub_Ens_Dan;priv_Ens_Dan;pub_Ens_no_reg_mus;priv_Ens_no_reg_mus;pub_Ens_no_reg_dan;priv_Ens_no_reg_dan;pub_idi;pub_idi_libre;pub_Ens_no_reg_idi;pub_Dep_gm;priv_Dep_gm;pub_Dep_gs;priv_Dep_gs;pub_Adul_formal;pub_planes
22;04005341;Escuela Infantil;Punta Sabinar;Público;C/ Huelva, 104. Apdo. correos 237;El Ejido;04902;El Ejido;Almería;04700;697950361;04005341.edu@juntadeandalucia.es;36,76668964447747;-2,818061019759398;516237,5489;4069006,435;S;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005351;Escuela Infantil;Gabriela Mistral;Público;C/ Octavio Augusto, 11;El Ejido;04902;El Ejido;Almería;04700;950579716;04005351.edu@juntadeandalucia.es;36,775681340645725;-2,81139937928333;516830,1169;4070005,027;S;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005363;Instituto de Educación Secundaria;Al-Bujaira;Público;Avda. Guillermo Reyna, 37;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451920;04005363.edu@juntadeandalucia.es;37,395745219816135;-1,945953369140625;593298,0318;4139296,366;S;S;N;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;S;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N
22;04005399;Colegio de Educación Infantil y Primaria;Pedro Mena;Público;C/ Academia, 2;Adra;04003;Adra;Almería;04770;950579849;04005399.edu@juntadeandalucia.es;36,749829383637504;-3,017958723828997;498396,8837;4067120,867;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005430;Colegio de Educación Infantil y Primaria;Teresa de Jesús;Público;C/ Chopin, 11;El Ejido;04902;El Ejido;Almería;04700;950579830;04005430.edu@juntadeandalucia.es;36,76261888548884;-2,8016209602355957;517705,7159;4068557,784;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005442;Colegio de Educación Infantil y Primaria;Ángel Frigola;Público;C/ Rosaleda,19;La Mojonera;04903;La Mojonera;Almería;04745;950156915;04005442.edu@juntadeandalucia.es;36,75158640125037;-2,685220588646075;528098,724;4067361,804;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005521;Centro de Educación Infantil;Los Lápices 2;Privado;C/ Sahara, s/n. Parcela B-1;Almería;04013;Almería;Almería;04009;950140654;lapices@escuelainfantillapices.es;36,85241089482416;-2,449522018432617;549074,0831;4078641,426;S;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005533;Instituto de Educación Secundaria;Valle de Andarax;Público;C/ Olivares, s/n;Canjáyar;04030;Canjáyar;Almería;04450;950515905;04005533.edu@juntadeandalucia.es;37,0070893678671;-2,7382269501686096;523289,3964;4095690,841;S;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005557;Colegio de Educación Infantil y Primaria;Encarnación Asensio Granados;Público;C/ Hermanos Machado, s/n;Cuevas del Almanzora;04035;Cuevas del Almanzora;Almería;04610;950451716;04005557.edu@juntadeandalucia.es;37,293466516471504;-1,876392931853161;599590,3219;4128020,084;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005582;Colegio de Educación Infantil y Primaria;Veintiocho de Febrero;Público;Avda. 28 de Febrero. Finca Casa Alta;Huércal de Almería;04052;Huércal de Almería;Almería;04230;950156503;04005582.edu@juntadeandalucía.es;36,88540102396052;-2,438677550605462;550019,3436;4082306,723;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005594;Colegio de Educación Infantil y Primaria;Arco Iris;Público;C/ Celindo, 68;Aguadulce;04079;Roquetas de Mar;Almería;04720;950156506;04005594.edu@juntadeandalucia.es;36,80795061292402;-2,5804275441273603;537425,6823;4073650,155;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005612;Colegio de Educación Infantil y Primaria;San Vicente;Público;Brr. San Vicente, 32;El Alquián;04013;Almería;Almería;04130;950156537;04005612.edu@juntadeandalucia.es;36,86019170316681;-2,369178159110561;556230,9645;4079548,856;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005673;Colegio de Educación Infantil y Primaria;Adela Díaz;Público;C/ Padre Méndez, s/n;Almería;04013;Almería;Almería;04006;950156206;04005673.edu@juntadeandalucía.es;36,84000022220441;-2,451876997947693;548872,0376;4077263,481;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005697;Colegio de Educación Infantil y Primaria;Josefina Baro Soler;Público;Avda. Mare Nostrum, s/n;Almería;04013;Almería;Almería;04009;950156642;04005697.edu@juntadeandalucia.es;36,84988391958776;-2,432676528962247;550577,5055;4078369,89;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005715;Escuela Infantil;Gloria Fuertes;Público;C/ París, 13. Bda. Santo Domingo;El Ejido;04902;El Ejido;Almería;04700;950156521;04005715.edu@juntadeandalucia.es;36,76741324;-2,800180076;517833,2077;4069089,885;S;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005089;Escuela Infantil;Rambla Morales;Público;Plaza Ruescas, s/n;Ruescas;04066;Níjar;Almería;04151;950156509;04005089.edu@juntadeandalucia.es;36,81644195253429;-2,2251763617640563;569106,7255;4074790,02;S;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005090;Colegio de Educación Infantil y Primaria;Ntra. Sra. del Rosario;Público;C/ Cuesta Marquina, 33;Guazamara;04035;Cuevas del Almanzora;Almería;04647;950451790;04005090.edu@juntadeandalucia.es;37,34528968181878;-1,7789912223815918;608149,5138;4133876,701;S;N;N;N;N;N;N;S;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005119;Colegio de Educación Infantil y Primaria;Punta Entinas;Público;Brr. de los Carpinteros, s/n;Pampanico;04902;El Ejido;Almería;04715;950579711;04005119.edu@juntadeandalucia.es;36,78395182765389;-2,834510992380501;514766,1221;4070918,651;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005120;Colegio de Educación Infantil y Primaria;Príncipe Felipe;Público;C/ Arco, 98;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451963;04005120.edu@juntadeandalucia.es;37,38567387666006;-1,9442260265350342;593463,435;4138180,705;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005156;Escuela Infantil;Gloria Fuertes;Público;C/ Las Escuelas, s/n;Pujaire;04066;Níjar;Almería;04151;950156511;04005156@juntadeandalucia.es;36,79753703987103;-2,2310107769992555;568603,208;4072688,649;S;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005739;Centro Docente Privado;Ciudad de Almería;Privado;C/ Padre Méndez, 40;Almería;04013;Almería;Almería;04006;950269814; ciudalm@aces-andalucia.org;36,839383145409634;-2,4516807233030433;548889,9309;4077195,128;S;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005740;Centro de Educación Infantil;Virgen del Carmen;Privado;C/ Memorias, 17;Almería;04013;Almería;Almería;04003;950261861;soylakesoy@hotmail.com;36,8451199231759;-2,465632431582435;547642,3818;4077824,471;S;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005764;Centro Docente Privado;Al-Bayyana;Privado;C/ Vilanova i la Geltrú, 7;Roquetas de Mar;04079;Roquetas de Mar;Almería;04740;664512588;director@al-bayyana.es;36,764020321847;-2,6255437875654976;533420,3877;4068760,263;S;N;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005818;Colegio de Educación Infantil y Primaria;Tierno Galván;Público;C/ Pío Baroja,100;El Ejido;04902;El Ejido;Almería;04700;950156917;04005818.edu@juntadeandalucia.es;36,767697526864026;-2,8162445236851;516399,4516;4069118,548;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005855;Centro Docente Privado;Portomagno;Privado;C/ La Romanilla, 72;Roquetas de Mar;04079;Roquetas de Mar;Almería;04740;950328313;colegioportomagno1985@gmail.com;36,76313029263776;-2,609306573867798;534869,9756;4068667,325;S;N;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005958;Instituto de Educación Secundaria;Albaida;Público;Ctra. de Níjar, s/n. Bda. Los Molinos;Almería;04013;Almería;Almería;04009;950156290;04005958.edu@juntadeandalucia.es;36,84631949758646;-2,443465490852759;549617,9525;4077968,824;S;S;N;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;N;N;S;N;N;N;S;N;N;S;N;N;S;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N
22;04005995;Centro de Educación Infantil;Mi Escuela Infantil;Privado;C/ Andalucía, 23;La Cañada de San Urbano;04013;Almería;Almería;04120;616139230;miescuelainfantil0@gmail.com;36,841004310890041;-2,4078844965061051166666666666666666667;552793,8686;4077398,269;S;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006045;Instituto de Educación Secundaria;Mar Mediterráneo;Público;C/ Parcela 4-Sector 4º, junto a Palacios de Congresos;Aguadulce;04079;Roquetas de Mar;Almería;04720;950156963;contacto@iesmarmediterraneo.org;36,82373150686599;-2,58378267288208;537118,7841;4075399,432;S;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006100;Colegio de Educación Infantil y Primaria;Nueva Almería;Público;C/ Camino de Jaul, esquina Fernando Fernán Gómez;Almería;04013;Almería;Almería;04007;950156679;ceipnuevalmeria@hotmail.com;36,82573254363327;-2,4366581439971924;550238,3307;4075688,635;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006151;Colegio de Educación Infantil y Primaria;Laimún;Público;Paseo de las Mimosas, 54;El Ejido;04902;El Ejido;Almería;04700;950156798;04006151.edu@juntadeandalucia.es;36,769698136892394;-2,8066755570120984;517252,9968;4069342,156;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006161;Colegio de Educación Infantil y Primaria;Saint Sylvain D'Anjou;Público;Avda. Pintor Ginés Parra, s/n;La Gangosa;04102;Vícar;Almería;04738;950156843;04006161.edu@juntadeandalucia.es;36,80206886787443;-2,6227498054504395;533653,1122;4072981,963;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006173;Colegio de Educación Infantil y Primaria;La Jarilla;Público;C/ Río Duero, 1 B;Huércal de Almería;04052;Huércal de Almería;Almería;04230;950156914;04006173.edu@juntadeandalucia.es;36,870989807960164;-2,4392340912706913;549979,1399;4080707,76;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006185;Colegio de Educación Infantil y Primaria;Mirasierra;Público;C/ Sector SUS-4-ND;Las Norias;04902;El Ejido;Almería;04716;950156845;emipinos@hotmail.com;36,75392444221086;-2,7495592832565308;522354,8525;4067604,211;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006197;Colegio de Educación Infantil y Primaria;Los Cuatro Caños;Público;C/ Miguel de Cervantes Saavedra, s/n;Vera;04100;Vera;Almería;04620;950451719;04006197.edu@juntadeandalucia.es;37,25105926327518;-1,8681007774512181;600381,6139;4123324,013;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04006203;Escuela Oficial de Idiomas;Huércal-Overa;Público;Avda. Guillermo Reina, 35;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451726;04006203.edu@juntadeandalucia.es;37,398366923;-1,943139706;593543,8294;4139590,019;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N
22;04006215;Centro de Educación Infantil;Peques;Privado;C/ Miguel Ángel, 44;El Ejido;04902;El Ejido;Almería;04700;950571751;centroeducativopeques@hotmail.com;36,7757861389011;-2,81105700253139;516860,6466;4070016,712;S;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
